post_index,post_text
43,"Active
ว่าด้วยการเทรด 
3h
  ·
ที่สำคัญที่สุดที่หลายคนๆ มองข้ามนั่นก็คือ “ความเข้าใจของครอบครัว” ลองถามเพื่อซาวด์เสียงกับคนที่บ้านดูว่า ถ้าผมจะลาออกมาเป็นฟูลไทม์พ่อแม่ หรือภรรยา สามี เขาจะเข้าใจเราไหม 
.
บางคนออกมาเป็นฟูลไทม์ก็จริง พออยู่บ้าน แต่ไม่ทำงานบ้าน พ่อเเม่ก็บ่นกร่นด่า คิดว่าอยู่บ้านนั่งไถแต่คอม เผลอๆ ถูกคิดว่าติดเกมอีก
.
หรือบางทีก็ต้องทำงานจิปาฐะเป็นคนใช้ให้กับคนที่บ้าน บางทีต้องขับรถไปช่วยคนนั้นคนนี้ที กลายเป็นงานเทรดก็ไม่ได้ทำก็ต้องคุยให้ลงตัวไม่งั้นจะเสียความสัมพันธ์ไปโดยปริยาย
Active
ว่าด้วยการเทรด 
4h
  ·
“5 ข้อสำคัญ ถ้าอยากรอดในการเป็น Full Time” 
จะเป็น Full Time Trader สิ่งสำคัญที่ต้องมีนอกจากความเก่ง ฝีมือ ทักษะ ประสบการณ์ มายด์เซ็ท เเละเงินทุนเเล้ว สิ่งที่ข… See more
All reactions:
10
10
5 shares
Like
Comment
Send
Share

Answer as Pupreaw Siriprapha"
44,"Nid Suparatmon
3h
  ·
Noon Pattanaya
5h
  ·
ขับรถไปที่ที่ทำงานเป็นประจำ
All reactions:
3
3
1 comment
Like
Comment
Send
Share
Roisai WB
Nid Suparatmon มันเกี่ยวกับข่าวหุ้นยังไงเหรอคะ
3h
Like
Reply
Share
2

Comment as Pupreaw Siriprapha"
45,"Roisai WB
Nid Suparatmon มันเกี่ยวกับข่าวหุ้นยังไงเหรอคะ
3h
Like
Reply
Share
2"
46,"Micheal Masino
Top contributor
  · 10h
  ·
ตัวถัดไปที่จะโดนคือ PTT เพราะงบQ4
All reactions:
53
53
38 comments
1 share
Like
Comment
Send
Share
Titan Aongy
ฝีแตกรายวัน
9h
Like
Reply
Share
ธนัสถ์ เลิศไพบูลย์
Top contributor
ถึงลบก็ไม่มาก เพราะพีอีไม่สูงมาก
9h
Like
Reply
Share

Comment as Pupreaw Siriprapha"
47,"Titan Aongy
ฝีแตกรายวัน
9h
Like
Reply
Share"
48,"ธนัสถ์ เลิศไพบูลย์
Top contributor
ถึงลบก็ไม่มาก เพราะพีอีไม่สูงมาก
9h
Like
Reply
Share"
49,"Nid Suparatmon
4h
  ·
Virote Thongchai
6h
  ·
ทำเราฉลองคริสต์มาสที่วันนี้
All reactions:
2
2
Like
Comment
Send
Share

Comment as Pupreaw Siriprapha"
50,"Anonymous participant
7h
  ·
หมดอายุ 31/3 
ท่านใดมีติดอยู่ตัวนี้ไหมครับ
มีโอกาสปั่นไหมครับ
1 comment
Like
Comment
Send
Share
TFEX Theatre
  ·
Follow
คนที่เทรด warrent นี่สุดยอดเลยครับ นับถือฝีมือ มากครับ
4h
Like
Reply
Share

Answer as Pupreaw Siriprapha"
51,"TFEX Theatre
  ·
Follow
คนที่เทรด warrent นี่สุดยอดเลยครับ นับถือฝีมือ มากครับ
4h
Like
Reply
Share"
52,"Stock Focus Magazine
4h
  ·
Stock Focus Magazine
4h
  ·
4 หุ้นลุ้น New High 
โบรกฯคาดการณ์ผลงานออกมาดี 
__________________________________
#SSP 
ค… See more
Like
Comment
Send
Share

Comment as Pupreaw Siriprapha"
53,"Aomsin Phatnareeya Charoenwanichakorn
4h
  ·
0:00 / 2:24
สอนฟรีมือใหม่ เทรดและลงทุน by ครูพี่พง - ประสบการณ์มากกว่า 15 ปี
4h
  ·
3 เทคนิคเด็ดพิชิตตลาด Sideways ทำกำไรในตลาดที่คนส่วนใหญ่ขาดทุน
#ครูพง #จักรวาลหุ้นแสนง่าย #เทรดทอง #เทรดเดอร์ #ครูพี่พง #เทรดforexมือใหม่ #มือใหม่หัดเทรด #เทรด… See more
Like
Comment
Send
Share

Comment as Pupreaw Siriprapha"
54,"Nid Suparatmon
4h
  ·
Tan Yaporn
6h
  ·
มาวันที่สอดคล้องกับความสะอาดที่คุณต้องการ
All reactions:
13
13
Like
Comment
Send
Share

Comment as Pupreaw Siriprapha"
55,"สาระ บัน
Top contributor
  · 6h
  ·
Share2Trade 
6h
  ·
ช็อก! งบ “คิง เพาเวอร์”
ปี 66 ขาดทุน 651 ล้านบาท
แบกหนี้จ่ายอีก 4-5 พันลบ.ต่อไตรมาส
#Share2Trade #หุ้น #AOT #คิงเพาเวอร์ #KingPower #การลงทุน #ข่าวหุ้น #ลงทุน #หุ้นไทยวันนี้
All reactions:
17
17
3 comments
1 share
Like
Comment
Send
Share
Worapun Sun
ไม่ขาดทุนก็แปลก นโยบายให้คนไทยไปซื้อของต่างประเทศแทนเมืองไทย
4h
Like
Reply
Share
เสธภพ สินตระการผล
ทีมฟุตบอลก็ยับ จะลงไปเล่นแชมป์เปี้ยนชิฟอีก
4h
Like
Reply
Share

Comment as Pupreaw Siriprapha"
56,"Worapun Sun
ไม่ขาดทุนก็แปลก นโยบายให้คนไทยไปซื้อของต่างประเทศแทนเมืองไทย
4h
Like
Reply
Share"
57,"เสธภพ สินตระการผล
ทีมฟุตบอลก็ยับ จะลงไปเล่นแชมป์เปี้ยนชิฟอีก
4h
Like
Reply
Share"
58,"NMfs RetrRic
Top contributor
  · 4h
  ·
ศุภพงศ์ เอี่ยมคงเอก, CMT
4h
  ·
เจาะพื้นฐานDELTAและAOTที่ทำให้คนกลัวSET ราคาแพงไปจริงหรือ?
หากคนที่ดูแค่ภาพตลาดรวมผ่านๆวันนี้อาจจะเป็นวันที่ท่านกลัวดัชนีรวมแต่หากท่านเป็นนักลงทุนที่เล่นในวันจ… See more
All reactions:
13
13
1 comment
Like
Comment
Send
Share
ธนัสถ์ เลิศไพบูลย์
Top contributor
เมื่อก่อน PEG แค่ 1 ตอนนี้ แค่ 0.5 ก็จะซื้อหรือครับ
4h
Like
Reply
Share

Comment as Pupreaw Siriprapha"
59,"ธนัสถ์ เลิศไพบูลย์
Top contributor
เมื่อก่อน PEG แค่ 1 ตอนนี้ แค่ 0.5 ก็จะซื้อหรือครับ
4h
Like
Reply
Share"
60,"Chai Jinda
Top contributor
  · 1d
  ·
dca อันตรายกว่าที่คิด
ทฤษฎีที่ทำตามได้ง่ายๆ 
แต่ก็เสียหายได้ง่ายๆเช่นกัน
Beauty Investor 
3d
  ·

รู้หรือไม่ ถ้าคุณซื้อ SET เมื่อ 32 ปีที่แล้ว… ราคามันก็อยู่แถวๆนี้แหละ

ไทยไม่ได้เป็นประเทศกำลังพัฒนา แต่เป็นประเทศไม่พัฒนา มากกว่ามั้ง
All reactions:
274
274
19 comments
10 shares
Like
Comment
Send
Share
Wishsawachit Siwaprukpong
ตั้งแต่เจ็บกับหุ้นไทยไปในรอบก่อน ก็เข้าใจเลยว่าต้องเติมหุ้นตอนไหน
DCAมันร้าย เหมาะสำหรับคนที่ไม่มีเวลาศึกษา และติดตาม
4h
Like
Reply
Share
Attawit Aryuwat
ตลาดหุ้นไทย ทำลายทุกทฤษฏี
1d
Like
Reply
Share

Answer as Pupreaw Siriprapha"
61,"Wishsawachit Siwaprukpong
ตั้งแต่เจ็บกับหุ้นไทยไปในรอบก่อน ก็เข้าใจเลยว่าต้องเติมหุ้นตอนไหน
DCAมันร้าย เหมาะสำหรับคนที่ไม่มีเวลาศึกษา และติดตาม
4h
Like
Reply
Share"
62,"Attawit Aryuwat
ตลาดหุ้นไทย ทำลายทุกทฤษฏี
1d
Like
Reply
Share"
